Year,Rank,Song,Artist,track_id,danceability,energy,speechiness,loudness,temp,valence
2021,27,Fancy Like,Walker Hayes,58UKC45GPNTflCN6nwCUeF,0.647,0.765,0.06,-6.459,79.994,0.855
2021,28,Dakiti,Bad Bunny ,47EiUVwUp4C9fGccaPuUCS,0.731,0.573,0.0544,-10.059,109.928,0.145
2021,29,Best Friend,Saweetie ,20BOju91NaEFK5Py4VJ2pp,0.84,0.766,0.136,-4.12,94.018,0.402
2021,30,Rapstar,Polo G,18vXApRmJSgQ6wG2ll9AOg,0.789,0.536,0.242,-6.862,81.039,0.437
2021,31,Heartbreak Anniversary,Giveon,3FAJ6O0NOHQV8Mc5Ri6ENp,0.449,0.465,0.0791,-8.964,89.087,0.543
2021,32,For the Night,Pop Smoke ,0PvFJmanyNQMseIFrU708S,0.823,0.586,0.2,-6.606,125.971,0.347
2021,33,Calling My Phone,Lil Tjay ,3J8EOeKLTLXORtWPpOU5bE,0.907,0.393,0.0539,-7.636,104.949,0.202
2021,34,Beautiful Mistakes,Maroon 5 ,5zFglKYiknIxks8geR8rcL,0.713,0.676,0.027,-5.483,99.048,0.721
2021,35,Holy,Justin Bieber ,5u1n1kITHCxxp8twBcZxWy,0.673,0.704,0.36,-8.056,86.919,0.372
2021,36,On Me,Lil Baby,4Iedi94TIaB2GGb1nMB68v,0.856,0.564,0.392,-6.295,77.972,0.483
2021,37,You Broke Me First,Tate McRae,4l0RmWt52FxpVxMNni6i63,0.66,0.379,0.0543,-9.357,124.027,0.0762
2021,38,Traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,0.0338,-7.885,100.607,0.0849
2021,39,Back in Blood,Pooh Shiesty ,7FGdjbZ32vMybPuP0IuE7d,0.759,0.538,0.384,-8.256,146.933,0.831
2021,40,I Hope,Gabby Barrett ,23T0OX7QOiIUFShSzbJ5Uo,0.466,0.536,0.0429,-6.227,75.998,0.377
2021,41,Dynamite,BTS,5QDLhrAOJJdNAmCTJ8xMyW,0.746,0.765,0.0993,-4.41,114.044,0.737
2021,42,Wockesha,Moneybagg Yo,0nqhKXDjsyBMvbeWmgijD0,0.582,0.537,0.619,-9.229,82.103,0.771
2021,43,You Right,Doja Cat,0k4d5YPDr1r7FX77VdqWez,0.828,0.621,0.0565,-6.414,128.986,0.436
2021,44,"Beat Box 2 / ""Beat Box 3""",DaBaby,6toQdWWc4noiOk3Eo5mVDS,0.853,0.426,0.374,-6.812,160.051,0.201
2021,45,Laugh Now Cry Later,Drake ,2SAqBLGA283SUiwJ3xOUVI,0.761,0.518,0.134,-8.871,133.976,0.522
2021,46,Need to Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,0.0707,-6.509,130.041,0.194
2021,47,Wants and Needs,Drake ,65OVbaJR5O1RmwOQx0875b,0.578,0.449,0.286,-6.349,136.006,0.1
2021,48,Way 2 Sexy,Drake,0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,0.141,-6.035,136.008,0.331
2021,49,Telepatía,Kali Uchis,6tDDoYIxWvMLTdKpjFkc1B,0.653,0.524,0.0502,-9.016,83.97,0.553
2021,50,Whoopty,CJ,5vGLcdRuSbUhD8ScwsGSdA,0.719,0.648,0.125,-7.6,140.201,0.66
2021,51,Lemonade,Internet Money,1p0rEzrK7YtdRZVtiyV7RN,0.8,0.658,0.079,-6.142,140.042,0.462
2021,52,Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,0.436,0.655,0.0583,-8.37,121.002,0.412
2021,53,Starting Over,Chris Stapleton,3K07bGe8iljQ3mOKArHLDo,0.638,0.538,0.0315,-8.445,89.124,0.318
2021,54,Body,Megan Thee Stallion,0A1hoCfMLkiAgvhWkkucJa,0.914,0.732,0.241,-6.1,94.066,0.469
2021,55,Willow,Taylor Swift,0lx2cLdOt3piJbcaXIV74f,0.392,0.574,0.17,-9.195,81.112,0.529
2021,56,Bang!,AJR,4SQLQfcR0vhyIN4uPBlc0d,0.74,0.517,0.0506,-6.233,139.917,0.698
2021,57,Better Together,Luke Combs,6gdLyYNuhWBzqwlOFSsXC7,0.552,0.225,0.0477,-11.501,138.002,0.67
2021,58,You're Mines Still,Yung Bleu,3q6TQTEbiLNv3RfNQfPgo3,0.575,0.609,0.121,-4.88,83.004,0.339
2021,59,Every Chance I Get,DJ Khaled ,1EJIcDYXwSqipW5dFe4uJz,0.477,0.727,0.286,-4.053,150.062,0.227
2021,60,Essence,Wizkid ,5FG7Tl93LdH117jEKYl3Cm,0.849,0.707,0.113,-6.002,104.027,0.602
2021,61,Chasing After You,Ryan Hurd ,3MkXV52jXtsG4pvKp4cGE8,0.601,0.675,0.0399,-6.358,131.933,0.446
2021,62,The Good Ones,Gabby Barrett,3hLuHKzG1cmlRpq53ZVWd8,0.519,0.552,0.0259,-5.023,89.957,0.331
2021,63,Leave Before You Love Me,Marshmello,4qu63nuBpdn0qHUHuObEj1,0.721,0.738,0.0403,-4.77,119.976,0.637
2021,64,Glad You Exist,Dan + Shay,3oV2RVOmwdWdf9BmGS4Oad,0.741,0.499,0.0356,-8.035,103.96,0.692
2021,65,Lonely,Justin Bieber,3S8jK1mGzQi24ilFb45DAZ,0.619,0.241,0.046,-7.102,79.461,0.0719
2021,66,Beggin',Måneskin,3Wrjm47oTz2sjIgck11l5e,0.714,0.8,0.0504,-4.808,134.002,0.589
2021,67,Streets,Doja Cat,60ynsPSSKe6O3sfwRnIBRf,0.749,0.463,0.0842,-8.433,90.035,0.189
2021,68,What's Next,Drake,3aQem4jVGdhtg116TmJnHz,0.781,0.594,0.0485,-6.959,129.895,0.0628
2021,69,Famous Friends,Chris Young ,00KyYtT6NaXwbPecina5Pj,0.535,0.859,0.0344,-2.922,102.008,0.698
2021,70,Lil Bit,Nelly ,0NmuYnjETG3u3qx0OmEJev,0.707,0.689,0.0387,-7.097,119.987,0.41
2021,71,Thot Shit,Megan Thee Stallion,5zNW5ARjYhJQJz1AChP33n,0.95,0.693,0.0898,-3.424,130.02,0.891
2021,72,Late at Night,Roddy Ricch,6kksmL4t09IgxhajuVDDxR,0.621,0.405,0.437,-11.26,98.427,0.141
2021,73,Kings & Queens,Ava Max,7a53HqqArd4b9NF4XAmlbI,0.637,0.69,0.0405,-4.057,129.857,0.457
2021,74,Anyone,Justin Bieber,2WnAKZefdRHxtBEkRjFOHC,0.685,0.521,0.0345,-8.285,115.885,0.578
2021,75,Track Star,Mooski,5hChuUMe5iHfjkXgzj1D4b,0.641,0.598,0.324,-5.7,131.459,0.285
2021,76,Time Today,Moneybagg Yo,0YrKSfpvflYnLSBd4Jtu6J,0.912,0.608,0.397,-7.686,136.994,0.327
2021,77,Cry Baby,Megan Thee Stallion,4aarlAfLKVCTxUDNgbwhjH,0.957,0.437,0.359,-7.882,130.058,0.616
2021,78,All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,0.0384,-7.463,150.273,0.35
2021,79,No More Parties,Coi Leray ,3R6wLBD4oU6op8L4YfMho9,0.847,0.405,0.584,-10.901,156.999,0.588
2021,80,What's Your Country Song,Thomas Rhett,4oR2cCQGs0Yt0Mgr2diV6V,0.359,0.706,0.0309,-6.151,174.079,0.479
2021,81,One Too Many,Keith Urban ,5NUXE8W12lWcUXgJRCjeEw,0.697,0.535,0.068,-6.504,82.959,0.594
2021,82,Arcade,Duncan Laurence,1Xi84slp6FryDSCbzq4UCD,0.459,0.331,0.0421,-12.603,72.023,0.271
2021,83,Yonaguni,Bad Bunny,2JPLbjOn0wPCngEot2STUS,0.644,0.648,0.118,-4.601,179.951,0.44
2021,84,Good Time,Niko Moon,2S8UMuLJ0z8agFgFGJ6Ztt,0.802,0.59,0.0493,-7.189,138.084,0.687
2021,85,If I Didn't Love You,Jason Aldean ,7IYoh1u7dFM1xIWSEYd5B8,0.452,0.683,0.0337,-4.829,183.937,0.445
2021,86,Knife Talk,Drake,2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,0.324,-9.579,145.887,0.153
2021,87,POV,Ariana Grande,3UoULw70kMsiVXxW0L3A33,0.487,0.534,0.0555,-5.664,131.798,0.173
2021,88,Just the Way,Parmalee ,4h5OVQQbeqw3lNaFIbmlzG,0.54,0.796,0.0412,-3.335,90.033,0.783
2021,89,Take My Breath,The Weeknd,2vgUijXOTRMnWXDtvgMp2b,0.698,0.769,0.0368,-7.154,121.02,0.354
2021,90,We're Good,Dua Lipa,5Ja8ZlVexmTQKbWAQgZ3f0,0.786,0.747,0.0614,-6.996,125.057,0.471
2021,91,Hell of a View,Eric Church,4mXGooManGPH6xAWRAtRJU,0.689,0.592,0.0235,-6.758,98.997,0.919
2021,92,Rockin' Around the Christmas Tree,Brenda Lee,2EjXfH91m7f8HiJN1yQg97,0.598,0.47,0.0496,-8.744,67.086,0.879
2021,93,Put Your Records On,Ritt Momney,6AGOKlMZWLCaEJGnaROtF9,0.399,0.491,0.0538,-10.778,91.066,0.151
2021,94,Happier Than Ever,Billie Eilish,4RVwu0g32PAqgUiJoXsdF8,0.332,0.225,0.0348,-8.697,81.055,0.297
2021,95,Single Saturday Night,Cole Swindell,6LnIxE8CqkK7faQV76nEHS,0.634,0.786,0.0411,-5.093,82.003,0.653
2021,96,Things a Man Oughta Know,Lainey Wilson,3S0sk6DSTgesXsUSAEHNr5,0.659,0.683,0.0312,-5.623,139.931,0.397
2021,97,Throat Baby (Go Baby),BRS Kash,15C4TnrrVdym7UykxQIOTZ,0.878,0.475,0.324,-8.42,131.988,0.397
2021,98,Tombstone,Rod Wave,3zc8VZEpM1onYV4FWGdFvm,0.55,0.637,0.163,-5.212,84.448,0.535
2021,99,Drinkin' Beer. Talkin' God. Amen.,Chase Rice ,0rOVgtieEk5SoypbulRiKI,0.627,0.678,0.0294,-4.691,100.032,0.724
2021,100,Todo de Ti,Rauw Alejandro,3rdAz1fbUfZxYgaCviYhRo,0.78,0.719,0.0506,-3.613,127.962,0.336
2022,1,Heat Waves,Glass Animals,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,0.0944,-6.9,80.87,0.531
2022,2,As It Was,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,0.0557,-5.338,173.93,0.662
2022,3,Stay,The Kid Laroi ,5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,0.0483,-5.484,169.928,0.478
2022,4,Easy on Me,Adele,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,0.0282,-7.519,141.981,0.13
2022,5,Shivers,Ed Sheeran,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,0.0856,-2.724,141.02,0.822
2022,6,First Class,Jack Harlow,0wHFktze2PHC5jDt3B17DC,0.902,0.582,0.109,-5.902,107.005,0.332
